,SeasonID,TeamID,TeamCity,TeamName,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,isPlayoff
29,22009,1610612751,New Jersey,Nets,11.0,0.415,-2.4,10.0,0.415,-5.1,6.0,0.5,-0.8,0
0,22010,1610612741,Chicago,Bulls,8.0,0.5,-1.6,7.0,0.5,-0.3,11.0,0.402,-3.1,1
2,22010,1610612748,Miami,Heat,5.0,0.573,2.3,5.0,0.524,0.3,15.0,0.183,-8.6,1
4,22010,1610612738,Boston,Celtics,4.0,0.61,3.7,2.0,0.756,7.5,1.0,0.805,10.3,1
6,22010,1610612753,Orlando,Magic,2.0,0.72,7.5,3.0,0.72,6.7,3.0,0.634,5.5,1
9,22010,1610612737,Atlanta,Hawks,3.0,0.646,4.7,4.0,0.573,1.6,8.0,0.451,-1.8,1
10,22010,1610612752,New York,Knicks,11.0,0.354,-3.8,14.0,0.39,-2.6,14.0,0.28,-6.6,1
13,22010,1610612755,Philadelphia,76ers,13.0,0.329,-3.9,6.0,0.5,0.1,7.0,0.488,0.4,1
14,22010,1610612754,Indiana,Pacers,10.0,0.39,-3.0,9.0,0.439,-1.1,9.0,0.439,-1.4,1
17,22010,1610612749,Milwaukee,Bucks,6.0,0.561,1.7,12.0,0.415,-1.1,13.0,0.317,-6.9,0
18,22010,1610612766,Charlotte,Bobcats,7.0,0.537,1.5,10.0,0.427,-1.3,12.0,0.39,-4.4,0
21,22010,1610612765,Detroit,Pistons,12.0,0.329,-5.1,8.0,0.476,-0.5,2.0,0.72,7.4,0
23,22010,1610612751,New Jersey,Nets,15.0,0.146,-9.1,11.0,0.415,-2.4,10.0,0.415,-5.1,0
24,22010,1610612764,Washington,Wizards,14.0,0.317,-4.8,15.0,0.232,-7.5,5.0,0.524,-0.3,0
27,22010,1610612761,Toronto,Raptors,9.0,0.488,-1.8,13.0,0.402,-2.8,6.0,0.5,2.9,0
28,22010,1610612739,Cleveland,Cavaliers,1.0,0.744,6.5,1.0,0.805,8.9,4.0,0.549,-0.4,0
0,22011,1610612741,Chicago,Bulls,1.0,0.756,7.3,8.0,0.5,-1.6,7.0,0.5,-0.3,1
2,22011,1610612748,Miami,Heat,2.0,0.707,7.5,5.0,0.573,2.3,5.0,0.524,0.3,1
5,22011,1610612754,Indiana,Pacers,8.0,0.451,-1.1,10.0,0.39,-3.0,9.0,0.439,-1.1,1
6,22011,1610612738,Boston,Celtics,3.0,0.683,5.4,4.0,0.61,3.7,2.0,0.756,7.5,1
8,22011,1610612737,Atlanta,Hawks,5.0,0.537,-0.8,3.0,0.646,4.7,4.0,0.573,1.6,1
11,22011,1610612753,Orlando,Magic,4.0,0.634,5.5,2.0,0.72,7.5,3.0,0.72,6.7,1
13,22011,1610612752,New York,Knicks,6.0,0.512,0.8,11.0,0.354,-3.8,14.0,0.39,-2.6,1
14,22011,1610612755,Philadelphia,76ers,7.0,0.5,1.5,13.0,0.329,-3.9,6.0,0.5,0.1,1
17,22011,1610612749,Milwaukee,Bucks,9.0,0.427,-0.8,6.0,0.561,1.7,12.0,0.415,-1.1,0
19,22011,1610612765,Detroit,Pistons,11.0,0.366,-3.6,12.0,0.329,-5.1,8.0,0.476,-0.5,0
21,22011,1610612761,Toronto,Raptors,14.0,0.268,-6.3,9.0,0.488,-1.8,13.0,0.402,-2.8,0
23,22011,1610612751,New Jersey,Nets,12.0,0.293,-6.2,15.0,0.146,-9.1,11.0,0.415,-2.4,0
24,22011,1610612739,Cleveland,Cavaliers,15.0,0.232,-9.0,1.0,0.744,6.5,1.0,0.805,8.9,0
27,22011,1610612764,Washington,Wizards,13.0,0.28,-7.4,14.0,0.317,-4.8,15.0,0.232,-7.5,0
29,22011,1610612766,Charlotte,Bobcats,10.0,0.415,-4.0,7.0,0.537,1.5,10.0,0.427,-1.3,0
0,22012,1610612748,Miami,Heat,2.0,0.697,6.0,2.0,0.707,7.5,5.0,0.573,2.3,1
2,22012,1610612752,New York,Knicks,7.0,0.545,3.2,6.0,0.512,0.8,11.0,0.354,-3.8,1
5,22012,1610612754,Indiana,Pacers,3.0,0.636,3.3,8.0,0.451,-1.1,10.0,0.39,-3.0,1
7,22012,1610612751,Brooklyn,Nets,12.0,0.333,-6.0,12.0,0.293,-6.2,15.0,0.146,-9.1,1
8,22012,1610612741,Chicago,Bulls,1.0,0.758,8.2,1.0,0.756,7.3,8.0,0.5,-1.6,1
10,22012,1610612737,Atlanta,Hawks,5.0,0.606,3.4,5.0,0.537,-0.8,3.0,0.646,4.7,1
12,22012,1610612738,Boston,Celtics,4.0,0.591,2.5,3.0,0.683,5.4,4.0,0.61,3.7,1
15,22012,1610612749,Milwaukee,Bucks,9.0,0.47,0.3,9.0,0.427,-0.8,6.0,0.561,1.7,1
17,22012,1610612755,Philadelphia,76ers,8.0,0.53,4.2,7.0,0.5,1.5,13.0,0.329,-3.9,0
19,22012,1610612761,Toronto,Raptors,11.0,0.348,-3.3,14.0,0.268,-6.3,9.0,0.488,-1.8,0
20,22012,1610612765,Detroit,Pistons,10.0,0.379,-4.8,11.0,0.366,-3.6,12.0,0.329,-5.1,0
22,22012,1610612764,Washington,Wizards,14.0,0.303,-4.8,13.0,0.28,-7.4,14.0,0.317,-4.8,0
24,22012,1610612739,Cleveland,Cavaliers,13.0,0.318,-7.2,15.0,0.232,-9.0,1.0,0.744,6.5,0
26,22012,1610612766,Charlotte,Bobcats,15.0,0.106,-13.9,10.0,0.415,-4.0,7.0,0.537,1.5,0
28,22012,1610612753,Orlando,Magic,6.0,0.561,0.8,4.0,0.634,5.5,2.0,0.72,7.5,0
1,22013,1610612754,Indiana,Pacers,3.0,0.605,4.0,3.0,0.636,3.3,8.0,0.451,-1.1,1
2,22013,1610612748,Miami,Heat,1.0,0.805,7.9,2.0,0.697,6.0,2.0,0.707,7.5,1
5,22013,1610612761,Toronto,Raptors,10.0,0.415,-1.5,11.0,0.348,-3.3,14.0,0.268,-6.3,1
6,22013,1610612741,Chicago,Bulls,5.0,0.549,0.3,1.0,0.758,8.2,1.0,0.756,7.3,1
8,22013,1610612764,Washington,Wizards,12.0,0.354,-2.5,14.0,0.303,-4.8,13.0,0.28,-7.4,1
11,22013,1610612751,Brooklyn,Nets,4.0,0.598,1.8,12.0,0.333,-6.0,12.0,0.293,-6.2,1
12,22013,1610612766,Charlotte,Bobcats,14.0,0.256,-9.2,15.0,0.106,-13.9,10.0,0.415,-4.0,1
14,22013,1610612737,Atlanta,Hawks,6.0,0.537,0.4,5.0,0.606,3.4,5.0,0.537,-0.8,1
16,22013,1610612752,New York,Knicks,2.0,0.659,4.2,7.0,0.545,3.2,6.0,0.512,0.8,0
18,22013,1610612739,Cleveland,Cavaliers,13.0,0.293,-4.7,13.0,0.318,-7.2,15.0,0.232,-9.0,0
20,22013,1610612765,Detroit,Pistons,11.0,0.354,-4.0,10.0,0.379,-4.8,11.0,0.366,-3.6,0
22,22013,1610612738,Boston,Celtics,7.0,0.506,-0.2,4.0,0.591,2.5,3.0,0.683,5.4,0
24,22013,1610612753,Orlando,Magic,15.0,0.244,-7.0,6.0,0.561,0.8,4.0,0.634,5.5,0
27,22013,1610612755,Philadelphia,76ers,9.0,0.415,-3.3,8.0,0.53,4.2,7.0,0.5,1.5,0
29,22013,1610612749,Milwaukee,Bucks,8.0,0.463,-1.5,9.0,0.47,0.3,9.0,0.427,-0.8,0
0,22014,1610612737,Atlanta,Hawks,8.0,0.463,-0.5,6.0,0.537,0.4,5.0,0.606,3.4,1
2,22014,1610612739,Cleveland,Cavaliers,10.0,0.402,-3.3,13.0,0.293,-4.7,13.0,0.318,-7.2,1
4,22014,1610612741,Chicago,Bulls,4.0,0.585,1.9,5.0,0.549,0.3,1.0,0.758,8.2,1
7,22014,1610612761,Toronto,Raptors,3.0,0.585,3.2,10.0,0.415,-1.5,11.0,0.348,-3.3,1
9,22014,1610612764,Washington,Wizards,5.0,0.537,1.3,12.0,0.354,-2.5,14.0,0.303,-4.8,1
