,SeasonID,TeamID,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,PlayoffRankLag4,WinPCTLag4,DiffPointsPGLag4,isPlayoff
49,2009,1610612763,12.0,0.293,-5.5,14.0,0.268,-6.2,15.0,0.268,-5.1,5.0,0.598,3.7,0
50,2009,1610612752,14.0,0.39,-2.6,14.0,0.28,-6.6,12.0,0.402,-2.9,15.0,0.28,-6.4,0
51,2009,1610612740,7.0,0.598,1.5,2.0,0.683,5.3,10.0,0.476,-1.6,10.0,0.463,-2.8,0
52,2009,1610612765,8.0,0.476,-0.5,2.0,0.72,7.4,1.0,0.646,4.2,1.0,0.78,6.7,0
53,2009,1610612746,14.0,0.232,-8.8,12.0,0.28,-7.3,9.0,0.488,-0.5,6.0,0.573,1.6,0
54,2009,1610612744,10.0,0.354,-3.7,9.0,0.585,2.2,8.0,0.512,-0.3,13.0,0.415,-1.4,0
55,2009,1610612755,6.0,0.5,0.1,7.0,0.488,0.4,10.0,0.427,-3.0,9.0,0.463,-2.0,0
56,2009,1610612758,15.0,0.207,-8.8,11.0,0.463,-2.3,11.0,0.402,-1.8,8.0,0.537,1.5,0
57,2009,1610612764,15.0,0.232,-7.5,5.0,0.524,-0.3,7.0,0.5,-0.5,5.0,0.512,1.9,0
58,2009,1610612750,11.0,0.293,-4.9,13.0,0.268,-6.8,13.0,0.39,-3.7,14.0,0.402,-1.9,0
59,2009,1610612751,11.0,0.415,-2.4,10.0,0.415,-5.1,6.0,0.5,-0.8,4.0,0.598,1.4,0
60,2010,1610612741,8.0,0.5,-1.6,7.0,0.5,-0.3,11.0,0.402,-3.1,5.0,0.598,5.0,1
61,2010,1610612759,7.0,0.61,5.1,3.0,0.659,3.8,3.0,0.683,4.8,3.0,0.707,8.4,1
62,2010,1610612748,5.0,0.573,2.3,5.0,0.524,0.3,15.0,0.183,-8.6,4.0,0.537,-0.9,1
63,2010,1610612747,1.0,0.695,4.7,1.0,0.793,7.7,1.0,0.695,7.3,7.0,0.512,-0.1,1
64,2010,1610612738,4.0,0.61,3.7,2.0,0.756,7.5,1.0,0.805,10.3,15.0,0.293,-3.4,1
65,2010,1610612742,2.0,0.671,2.7,6.0,0.61,2.0,7.0,0.622,4.5,1.0,0.817,7.2,1
66,2010,1610612753,2.0,0.72,7.5,3.0,0.72,6.7,3.0,0.634,5.5,8.0,0.488,0.8,1
67,2010,1610612760,8.0,0.61,3.5,13.0,0.28,-6.1,15.0,0.244,-8.8,14.0,0.378,-2.9,1
68,2010,1610612743,4.0,0.646,4.1,2.0,0.659,3.4,8.0,0.61,3.7,6.0,0.549,1.6,1
69,2010,1610612737,3.0,0.646,4.7,4.0,0.573,1.6,8.0,0.451,-1.8,13.0,0.366,-4.8,1
70,2010,1610612752,11.0,0.354,-3.8,14.0,0.39,-2.6,14.0,0.28,-6.6,12.0,0.402,-2.9,1
71,2010,1610612757,6.0,0.61,3.3,4.0,0.659,5.3,10.0,0.5,-1.0,12.0,0.39,-4.3,1
72,2010,1610612740,11.0,0.451,-2.5,7.0,0.598,1.5,2.0,0.683,5.3,10.0,0.476,-1.6,1
73,2010,1610612755,13.0,0.329,-3.9,6.0,0.5,0.1,7.0,0.488,0.4,10.0,0.427,-3.0,1
74,2010,1610612754,10.0,0.39,-3.0,9.0,0.439,-1.1,9.0,0.439,-1.4,9.0,0.427,-2.4,1
75,2010,1610612763,10.0,0.488,-1.5,12.0,0.293,-5.5,14.0,0.268,-6.2,15.0,0.268,-5.1,1
76,2010,1610612745,9.0,0.512,-0.4,5.0,0.646,4.0,5.0,0.671,4.7,5.0,0.634,4.9,0
77,2010,1610612749,6.0,0.561,1.7,12.0,0.415,-1.1,13.0,0.317,-6.9,14.0,0.341,-4.4,0
78,2010,1610612766,7.0,0.537,1.5,10.0,0.427,-1.3,12.0,0.39,-4.4,11.0,0.402,-3.7,0
79,2010,1610612756,3.0,0.659,4.9,9.0,0.561,1.9,6.0,0.671,5.0,2.0,0.744,7.3,0
80,2010,1610612762,5.0,0.646,5.3,8.0,0.585,2.6,4.0,0.659,6.9,4.0,0.622,2.9,0
81,2010,1610612765,12.0,0.329,-5.1,8.0,0.476,-0.5,2.0,0.72,7.4,1.0,0.646,4.2,0
82,2010,1610612744,13.0,0.317,-3.6,10.0,0.354,-3.7,9.0,0.585,2.2,8.0,0.512,-0.3,0
83,2010,1610612751,15.0,0.146,-9.1,11.0,0.415,-2.4,10.0,0.415,-5.1,6.0,0.5,-0.8,0
84,2010,1610612764,14.0,0.317,-4.8,15.0,0.232,-7.5,5.0,0.524,-0.3,7.0,0.5,-0.5,0
85,2010,1610612746,12.0,0.354,-6.4,14.0,0.232,-8.8,12.0,0.28,-7.3,9.0,0.488,-0.5,0
86,2010,1610612758,14.0,0.305,-4.4,15.0,0.207,-8.8,11.0,0.463,-2.3,11.0,0.402,-1.8,0
87,2010,1610612761,9.0,0.488,-1.8,13.0,0.402,-2.8,6.0,0.5,2.9,3.0,0.573,1.0,0
88,2010,1610612739,1.0,0.744,6.5,1.0,0.805,8.9,4.0,0.549,-0.4,2.0,0.61,3.8,0
89,2010,1610612750,15.0,0.183,-9.6,11.0,0.293,-4.9,13.0,0.268,-6.8,13.0,0.39,-3.7,0
90,2011,1610612741,1.0,0.756,7.3,8.0,0.5,-1.6,7.0,0.5,-0.3,11.0,0.402,-3.1,1
91,2011,1610612759,1.0,0.744,5.7,7.0,0.61,5.1,3.0,0.659,3.8,3.0,0.683,4.8,1
92,2011,1610612748,2.0,0.707,7.5,5.0,0.573,2.3,5.0,0.524,0.3,15.0,0.183,-8.6,1
93,2011,1610612760,4.0,0.671,3.8,8.0,0.61,3.5,13.0,0.28,-6.1,15.0,0.244,-8.8,1
94,2011,1610612754,8.0,0.451,-1.1,10.0,0.39,-3.0,9.0,0.439,-1.1,9.0,0.439,-1.4,1
95,2011,1610612747,2.0,0.695,6.1,1.0,0.695,4.7,1.0,0.793,7.7,1.0,0.695,7.3,1
96,2011,1610612738,3.0,0.683,5.4,4.0,0.61,3.7,2.0,0.756,7.5,1.0,0.805,10.3,1
97,2011,1610612763,8.0,0.561,2.3,10.0,0.488,-1.5,12.0,0.293,-5.5,14.0,0.268,-6.2,1
98,2011,1610612737,5.0,0.537,-0.8,3.0,0.646,4.7,4.0,0.573,1.6,8.0,0.451,-1.8,1
99,2011,1610612746,13.0,0.39,-3.1,12.0,0.354,-6.4,14.0,0.232,-8.8,12.0,0.28,-7.3,1
100,2011,1610612743,5.0,0.61,4.8,4.0,0.646,4.1,2.0,0.659,3.4,8.0,0.61,3.7,1
101,2011,1610612753,4.0,0.634,5.5,2.0,0.72,7.5,3.0,0.72,6.7,3.0,0.634,5.5,1
102,2011,1610612752,6.0,0.512,0.8,11.0,0.354,-3.8,14.0,0.39,-2.6,14.0,0.28,-6.6,1
103,2011,1610612742,3.0,0.695,4.2,2.0,0.671,2.7,6.0,0.61,2.0,7.0,0.622,4.5,1
104,2011,1610612762,11.0,0.476,-1.8,5.0,0.646,5.3,8.0,0.585,2.6,4.0,0.659,6.9,1
105,2011,1610612755,7.0,0.5,1.5,13.0,0.329,-3.9,6.0,0.5,0.1,7.0,0.488,0.4,1
106,2011,1610612745,9.0,0.524,2.2,9.0,0.512,-0.4,5.0,0.646,4.0,5.0,0.671,4.7,0
107,2011,1610612749,9.0,0.427,-0.8,6.0,0.561,1.7,12.0,0.415,-1.1,13.0,0.317,-6.9,0
108,2011,1610612765,11.0,0.366,-3.6,12.0,0.329,-5.1,8.0,0.476,-0.5,2.0,0.72,7.4,0
109,2011,1610612756,10.0,0.488,-0.9,3.0,0.659,4.9,9.0,0.561,1.9,6.0,0.671,5.0,0
110,2011,1610612757,6.0,0.585,1.5,6.0,0.61,3.3,4.0,0.659,5.3,10.0,0.5,-1.0,0
111,2011,1610612761,14.0,0.268,-6.3,9.0,0.488,-1.8,13.0,0.402,-2.8,6.0,0.5,2.9,0
112,2011,1610612751,12.0,0.293,-6.2,15.0,0.146,-9.1,11.0,0.415,-2.4,10.0,0.415,-5.1,0
113,2011,1610612750,15.0,0.207,-6.6,15.0,0.183,-9.6,11.0,0.293,-4.9,13.0,0.268,-6.8,0
114,2011,1610612744,12.0,0.439,-2.3,13.0,0.317,-3.6,10.0,0.354,-3.7,9.0,0.585,2.2,0
115,2011,1610612739,15.0,0.232,-9.0,1.0,0.744,6.5,1.0,0.805,8.9,4.0,0.549,-0.4,0
116,2011,1610612758,14.0,0.293,-5.3,14.0,0.305,-4.4,15.0,0.207,-8.8,11.0,0.463,-2.3,0
117,2011,1610612764,13.0,0.28,-7.4,14.0,0.317,-4.8,15.0,0.232,-7.5,5.0,0.524,-0.3,0
118,2011,1610612766,10.0,0.415,-4.0,7.0,0.537,1.5,10.0,0.427,-1.3,12.0,0.39,-4.4,0
119,2011,1610612740,7.0,0.561,0.9,11.0,0.451,-2.5,7.0,0.598,1.5,2.0,0.683,5.3,0
120,2012,1610612748,2.0,0.697,6.0,2.0,0.707,7.5,5.0,0.573,2.3,5.0,0.524,0.3,1
121,2012,1610612760,2.0,0.712,6.1,4.0,0.671,3.8,8.0,0.61,3.5,13.0,0.28,-6.1,1
122,2012,1610612752,7.0,0.545,3.2,6.0,0.512,0.8,11.0,0.354,-3.8,14.0,0.39,-2.6,1
123,2012,1610612759,1.0,0.758,7.2,1.0,0.744,5.7,7.0,0.61,5.1,3.0,0.659,3.8,1
124,2012,1610612743,6.0,0.576,2.9,5.0,0.61,4.8,4.0,0.646,4.1,2.0,0.659,3.4,1
125,2012,1610612754,3.0,0.636,3.3,8.0,0.451,-1.1,10.0,0.39,-3.0,9.0,0.439,-1.1,1
126,2012,1610612746,5.0,0.606,2.6,13.0,0.39,-3.1,12.0,0.354,-6.4,14.0,0.232,-8.8,1
127,2012,1610612751,12.0,0.333,-6.0,12.0,0.293,-6.2,15.0,0.146,-9.1,11.0,0.415,-2.4,1
128,2012,1610612741,1.0,0.758,8.2,1.0,0.756,7.3,8.0,0.5,-1.6,7.0,0.5,-0.3,1
129,2012,1610612763,4.0,0.621,2.0,8.0,0.561,2.3,10.0,0.488,-1.5,12.0,0.293,-5.5,1
130,2012,1610612737,5.0,0.606,3.4,5.0,0.537,-0.8,3.0,0.646,4.7,4.0,0.573,1.6,1
131,2012,1610612744,13.0,0.348,-3.4,12.0,0.439,-2.3,13.0,0.317,-3.6,10.0,0.354,-3.7,1
132,2012,1610612738,4.0,0.591,2.5,3.0,0.683,5.4,4.0,0.61,3.7,2.0,0.756,7.5,1
133,2012,1610612747,3.0,0.621,1.4,2.0,0.695,6.1,1.0,0.695,4.7,1.0,0.793,7.7,1
134,2012,1610612745,9.0,0.515,0.2,9.0,0.524,2.2,9.0,0.512,-0.4,5.0,0.646,4.0,1
135,2012,1610612749,9.0,0.47,0.3,9.0,0.427,-0.8,6.0,0.561,1.7,12.0,0.415,-1.1,1
136,2012,1610612762,8.0,0.545,0.6,11.0,0.476,-1.8,5.0,0.646,5.3,8.0,0.585,2.6,0
137,2012,1610612755,8.0,0.53,4.2,7.0,0.5,1.5,13.0,0.329,-3.9,6.0,0.5,0.1,0
138,2012,1610612742,7.0,0.545,1.0,3.0,0.695,4.2,2.0,0.671,2.7,6.0,0.61,2.0,0
139,2012,1610612761,11.0,0.348,-3.3,14.0,0.268,-6.3,9.0,0.488,-1.8,13.0,0.402,-2.8,0
140,2012,1610612765,10.0,0.379,-4.8,11.0,0.366,-3.6,12.0,0.329,-5.1,8.0,0.476,-0.5,0
141,2012,1610612757,11.0,0.424,-0.6,6.0,0.585,1.5,6.0,0.61,3.3,4.0,0.659,5.3,0
142,2012,1610612764,14.0,0.303,-4.8,13.0,0.28,-7.4,14.0,0.317,-4.8,15.0,0.232,-7.5,0
143,2012,1610612750,12.0,0.394,-2.2,15.0,0.207,-6.6,15.0,0.183,-9.6,11.0,0.293,-4.9,0
144,2012,1610612739,13.0,0.318,-7.2,15.0,0.232,-9.0,1.0,0.744,6.5,1.0,0.805,8.9,0
145,2012,1610612758,14.0,0.333,-5.7,14.0,0.293,-5.3,14.0,0.305,-4.4,15.0,0.207,-8.8,0
146,2012,1610612766,15.0,0.106,-13.9,10.0,0.415,-4.0,7.0,0.537,1.5,10.0,0.427,-1.3,0
147,2012,1610612740,15.0,0.318,-3.8,7.0,0.561,0.9,11.0,0.451,-2.5,7.0,0.598,1.5,0
148,2012,1610612753,6.0,0.561,0.8,4.0,0.634,5.5,2.0,0.72,7.5,3.0,0.72,6.7,0
